,,,,,,,,,,,,,
Drivers,units,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,total," 12,989,026 "," 13,317,658 "," 13,700,662 "," 17,189,044 "," 14,841,654 ",,
,,,,,,deforestation," 9,705,508 "," 9,879,461 "," 10,214,207 "," 13,893,776 "," 11,403,980 ",,
,,,,,,degradation," 3,283,518 "," 3,438,197 "," 3,486,455 "," 3,295,268 "," 3,437,674 ",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Drivers,units,2011,2012,2013,2014,2015,,,,,,,
Forestry infrastructure,tCO2," 195,547 "," 252,319 "," 346,938 "," 214,471 "," 329,066 ",,,,,,,
Agriculture,," 45,526 "," 488,574 "," 470,808 "," 907,194 "," 420,840 ",,,,,,,
Mining (medium and large scale),," 7,716,752 "," 14,365,354 "," 12,109,203 "," 11,479,457 "," 7,130,111 ",,,,,,,
Infrastructure,," 313,296 "," 133,519 "," 359,554 "," 148,237 "," 228,138 ",,,,,,,
Settlements,, -   , -   ," 24,181 "," 74,644 "," 8,411 ",,,,,,,
Fire-Biomass burning,," 48,039 "," 192,157 "," 100,256 "," 270,482 "," 1,575,896 ",,,,,,,
Shifting Cultivation,,,,,,,,,,,,,
Deforestation,," 8,319,160 "," 15,431,923 "," 13,410,940 "," 13,094,485 "," 9,692,461 ",,,,,,,
Logging,tCO2," 3,631,919 "," 3,490,982 "," 3,724,737 "," 4,532,569 "," 3,910,404 ",,,,,,,
Illegal logging,," 14,759 "," 12,262 "," 12,605 "," 15,077 "," 8,002 ",,,,,,,
Mining and Infrastructure,,,,,," 222,631 ",,,,,,,
Degradation,," 3,646,678 "," 3,503,244 "," 3,737,341 "," 4,547,646 "," 4,141,038 ",,,,,,,
,,,,,,,,,,,,,
TOTAL,," 11,965,838 "," 18,935,167 "," 17,148,281 "," 17,642,131 "," 13,833,499 ",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Drivers,units,2011,2012,2013,2014,2015,,,,,,,
Forestry infrastructure,tCO2," 195,547 "," 252,319 "," 346,938 "," 214,471 "," 329,066 ",,,,,,,
Agriculture,," 45,526 "," 488,574 "," 470,808 "," 907,194 "," 420,840 ",,,,,,,
Mining (medium and large scale),," 7,716,752 "," 14,365,354 "," 12,109,203 "," 11,479,457 "," 7,130,111 ",,,,,,,
Infrastructure,," 313,296 "," 133,519 "," 359,554 "," 148,237 "," 228,138 ",,,,,,,
Settlements,, -   , -   ," 24,181 "," 74,644 "," 8,411 ",,,,,,,
Fire-Biomass burning,," 48,039 "," 192,157 "," 100,256 "," 270,482 "," 1,575,896 ",,,,,,,
Shifting Cultivation,,,,,,,,,,,,,
Deforestation,," 8,319,160 "," 15,431,923 "," 13,410,940 "," 13,094,485 "," 9,692,461 ",,,,,,,
Logging,tCO2," 3,631,919 "," 3,490,982 "," 3,724,737 "," 4,532,569 "," 3,910,404 ",,,,,,,
Illegal logging,," 14,759 "," 12,262 "," 12,605 "," 15,077 "," 8,002 ",,,,,,,
Mining and Infrastructure,,,,,,,,,,,,,
Degradation,," 3,646,678 "," 3,503,244 "," 3,737,341 "," 4,547,646 "," 3,918,407 ",,,,,,,
,,,,,,,,,,,,,
TOTAL,," 11,965,838 "," 18,935,167 "," 17,148,281 "," 17,642,131 "," 13,610,868 ",,,,,,,
,,,,,,,,,,,average,,
,,,,,,,,,,," 14,407,609 ",,
,,,,,,,,,,,% of 2020 C stocks,,
,,,,,,,,,,,0.08%,,
